report_id,report_key,filer_name,filing_date,filing_format,report_url,status,transactions_found,error,checked_at_utc
68e2d163-9ecd-4bde-a0f2-4b0e2ad08c79,68e2d163-9ecd-4bde-a0f2-4b0e2ad08c79,Mark R Warner,2021-07-14,electronic_html,https://efdsearch.senate.gov/search/view/ptr/68e2d163-9ecd-4bde-a0f2-4b0e2ad08c79/,ok_reused,1,,2026-09-10T17:05:26Z
9ed788e7-5747-4d7c-9888-1da907b35cde,9ed788e7-5747-4d7c-9888-1da907b35cde,Susan M Collins,2021-07-14,electronic_html,https://efdsearch.senate.gov/search/view/ptr/9ed788e7-5747-4d7c-9888-1da907b35cde/,ok_reused,1,,2026-09-10T17:05:26Z
596ec5e5-2392-4cb7-a12d-8466ab2a4f8e,596ec5e5-2392-4cb7-a12d-8466ab2a4f8e,Michael F Bennet,2021-07-12,electronic_html,https://efdsearch.senate.gov/search/view/ptr/596ec5e5-2392-4cb7-a12d-8466ab2a4f8e/,ok_reused,1,,2026-09-10T17:05:26Z
dd6f0dbb-3333-442f-a947-20c79871ee45,dd6f0dbb-3333-442f-a947-20c79871ee45,Ron L Wyden,2021-07-12,electronic_html,https://efdsearch.senate.gov/search/view/ptr/dd6f0dbb-3333-442f-a947-20c79871ee45/,ok_reused,14,,2026-09-10T17:05:26Z
4fc6484d-a9d0-4646-a418-beab49148783,4fc6484d-a9d0-4646-a418-beab49148783,John W Hickenlooper,2021-07-09,electronic_html,https://efdsearch.senate.gov/search/view/ptr/4fc6484d-a9d0-4646-a418-beab49148783/,ok_reused,3,,2026-09-10T17:05:26Z
0e6e0250-95fe-41a2-91ed-607a396b11cc,0e6e0250-95fe-41a2-91ed-607a396b11cc,"William F Hagerty, IV",2021-07-08,electronic_html,https://efdsearch.senate.gov/search/view/ptr/0e6e0250-95fe-41a2-91ed-607a396b11cc/,ok_reused,1,,2026-09-10T17:05:26Z
d40c72ed-6239-4214-a20a-f576b9628901,d40c72ed-6239-4214-a20a-f576b9628901,JOHN BOOZMAN,2021-07-07,paper_scan,https://efdsearch.senate.gov/search/view/paper/d40c72ed-6239-4214-a20a-f576b9628901/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
742b5ad0-9b33-4970-9285-b4e9e9521d4a,742b5ad0-9b33-4970-9285-b4e9e9521d4a,Gary C Peters,2021-07-06,electronic_html,https://efdsearch.senate.gov/search/view/ptr/742b5ad0-9b33-4970-9285-b4e9e9521d4a/,ok_reused,2,,2026-09-10T17:05:26Z
7d15a892-ceff-43c2-acd3-092d7a240de6,7d15a892-ceff-43c2-acd3-092d7a240de6,RICHARD BLUMENTHAL,2021-07-01,paper_scan,https://efdsearch.senate.gov/search/view/paper/7d15a892-ceff-43c2-acd3-092d7a240de6/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
f0f1cd53-d159-42e8-89fc-c86fc7a7a68c,f0f1cd53-d159-42e8-89fc-c86fc7a7a68c,RICHARD BLUMENTHAL,2021-06-28,paper_scan,https://efdsearch.senate.gov/search/view/paper/f0f1cd53-d159-42e8-89fc-c86fc7a7a68c/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
