first_name,last_name,filer_name,office,filing_date,report_title,report_id,report_key,filing_format,report_url
Daniel S,Sullivan,Daniel S Sullivan,"Sullivan, Dan (Senator)",2023-09-22,Periodic Transaction Report for 09/18/2023 (Amendment 1),f9252211-a695-4c37-869a-0e223fce8d88,f9252211-a695-4c37-869a-0e223fce8d88,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f9252211-a695-4c37-869a-0e223fce8d88/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2023-09-19,Periodic Transaction Report for 09/19/2023,7ebf3c9c-8caf-4b75-8150-e0975727eed8,7ebf3c9c-8caf-4b75-8150-e0975727eed8,paper_scan,https://efdsearch.senate.gov/search/view/paper/7ebf3c9c-8caf-4b75-8150-e0975727eed8/
Katie,Britt,Katie Britt,"Britt, Katie (Senator)",2023-09-18,Periodic Transaction Report for 09/18/2023,026ff795-7e4d-446b-aff2-8d01be09e318,026ff795-7e4d-446b-aff2-8d01be09e318,electronic_html,https://efdsearch.senate.gov/search/view/ptr/026ff795-7e4d-446b-aff2-8d01be09e318/
Daniel S,Sullivan,Daniel S Sullivan,"Sullivan, Dan (Senator)",2023-09-18,Periodic Transaction Report for 09/18/2023,58c402ff-7995-4e0a-809d-b08544832300,58c402ff-7995-4e0a-809d-b08544832300,electronic_html,https://efdsearch.senate.gov/search/view/ptr/58c402ff-7995-4e0a-809d-b08544832300/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-09-15,Periodic Transaction Report for 09/15/2023,50d15e98-196c-4b71-8175-dcf9b92481d8,50d15e98-196c-4b71-8175-dcf9b92481d8,electronic_html,https://efdsearch.senate.gov/search/view/ptr/50d15e98-196c-4b71-8175-dcf9b92481d8/
Rick,Scott,Rick Scott,"Scott, Rick (Senator)",2023-09-15,Periodic Transaction Report for 09/15/2023,3fbf28e0-d8fa-4f01-a605-eca8e912dde8,3fbf28e0-d8fa-4f01-a605-eca8e912dde8,electronic_html,https://efdsearch.senate.gov/search/view/ptr/3fbf28e0-d8fa-4f01-a605-eca8e912dde8/
A. Mitchell,"McConnell, Jr.","A. Mitchell McConnell, Jr.","McConnell, A. Mitchell Jr. (Senator)",2023-09-15,Periodic Transaction Report for 09/15/2023,14405c0d-7a4a-4c50-a5dd-375441a0f996,14405c0d-7a4a-4c50-a5dd-375441a0f996,electronic_html,https://efdsearch.senate.gov/search/view/ptr/14405c0d-7a4a-4c50-a5dd-375441a0f996/
Shelley M,Capito,Shelley M Capito,"Capito, Shelley Moore (Senator)",2023-09-15,Periodic Transaction Report for 09/15/2023,905a4b13-f6e9-4edf-8558-ddc5122e8062,905a4b13-f6e9-4edf-8558-ddc5122e8062,electronic_html,https://efdsearch.senate.gov/search/view/ptr/905a4b13-f6e9-4edf-8558-ddc5122e8062/
Mark R,Warner,Mark R Warner,"Warner, Mark (Senator)",2023-09-12,Periodic Transaction Report for 09/12/2023,b5ce3c9a-ef28-4e18-8769-20a38abc25d1,b5ce3c9a-ef28-4e18-8769-20a38abc25d1,electronic_html,https://efdsearch.senate.gov/search/view/ptr/b5ce3c9a-ef28-4e18-8769-20a38abc25d1/
John,Boozman,John Boozman,"Boozman, John (Senator)",2023-09-07,Periodic Transaction Report for 09/07/2023,a85f356c-5d2f-4b83-9262-774af3e97e46,a85f356c-5d2f-4b83-9262-774af3e97e46,electronic_html,https://efdsearch.senate.gov/search/view/ptr/a85f356c-5d2f-4b83-9262-774af3e97e46/
Roger W,Marshall,Roger W Marshall,"Marshall, Roger (Senator)",2023-09-06,Periodic Transaction Report for 09/06/2023,129f391b-9bb5-4ed3-a1ce-6b4e3e2a34c9,129f391b-9bb5-4ed3-a1ce-6b4e3e2a34c9,electronic_html,https://efdsearch.senate.gov/search/view/ptr/129f391b-9bb5-4ed3-a1ce-6b4e3e2a34c9/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2023-09-05,Periodic Transaction Report for 09/05/2023,f805b510-6697-47ac-a54c-91449afcc3be,f805b510-6697-47ac-a54c-91449afcc3be,paper_scan,https://efdsearch.senate.gov/search/view/paper/f805b510-6697-47ac-a54c-91449afcc3be/
A. Mitchell,"McConnell, Jr.","A. Mitchell McConnell, Jr.","McConnell, A. Mitchell Jr. (Senator)",2023-08-31,Periodic Transaction Report for 08/31/2023,90faa158-bcfe-403f-807f-1ff21fb3275f,90faa158-bcfe-403f-807f-1ff21fb3275f,electronic_html,https://efdsearch.senate.gov/search/view/ptr/90faa158-bcfe-403f-807f-1ff21fb3275f/
Gary C,Peters,Gary C Peters,"Peters, Gary (Senator)",2023-08-29,Periodic Transaction Report for 08/29/2023,c6821127-de2d-4e81-ada0-1b26b047a35d,c6821127-de2d-4e81-ada0-1b26b047a35d,electronic_html,https://efdsearch.senate.gov/search/view/ptr/c6821127-de2d-4e81-ada0-1b26b047a35d/
JOHN,BOOZMAN,JOHN BOOZMAN,Senator,2023-08-21,Periodic Transaction Report for 08/21/2023,85d6ffc4-9aab-4548-ae3a-439fb20a9ccc,85d6ffc4-9aab-4548-ae3a-439fb20a9ccc,paper_scan,https://efdsearch.senate.gov/search/view/paper/85d6ffc4-9aab-4548-ae3a-439fb20a9ccc/
William F,"Hagerty, IV","William F Hagerty, IV","Hagerty, Bill (Senator)",2023-08-14,Periodic Transaction Report for 04/13/2022 (Amendment 1),5506edae-7d2f-4c33-a22e-7971200c6f0d,5506edae-7d2f-4c33-a22e-7971200c6f0d,electronic_html,https://efdsearch.senate.gov/search/view/ptr/5506edae-7d2f-4c33-a22e-7971200c6f0d/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-08-14,Periodic Transaction Report for 08/14/2023,9d268a6e-94c2-48c5-9db9-79f3eaa75d25,9d268a6e-94c2-48c5-9db9-79f3eaa75d25,electronic_html,https://efdsearch.senate.gov/search/view/ptr/9d268a6e-94c2-48c5-9db9-79f3eaa75d25/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2023-08-07,Periodic Transaction Report for 08/07/2023,5e3f0c2c-fff4-46b0-b29b-a6fe3fc87b61,5e3f0c2c-fff4-46b0-b29b-a6fe3fc87b61,paper_scan,https://efdsearch.senate.gov/search/view/paper/5e3f0c2c-fff4-46b0-b29b-a6fe3fc87b61/
Daniel S,Sullivan,Daniel S Sullivan,"Sullivan, Dan (Senator)",2023-07-26,Periodic Transaction Report for 12/21/2022 (Amendment 1),016757b7-4990-4541-a2e6-3058ea8b0bfe,016757b7-4990-4541-a2e6-3058ea8b0bfe,electronic_html,https://efdsearch.senate.gov/search/view/ptr/016757b7-4990-4541-a2e6-3058ea8b0bfe/
Shelley M,Capito,Shelley M Capito,"Capito, Shelley Moore (Senator)",2023-07-17,Periodic Transaction Report for 07/17/2023,8af46e43-23ee-40b9-8018-b8a2f90de99b,8af46e43-23ee-40b9-8018-b8a2f90de99b,electronic_html,https://efdsearch.senate.gov/search/view/ptr/8af46e43-23ee-40b9-8018-b8a2f90de99b/
Thomas R,Tillis,Thomas R Tillis,"Tillis, Thom (Senator)",2023-07-15,Periodic Transaction Report for 07/15/2023,2d6428b6-c786-4e23-958f-a9d887b893d7,2d6428b6-c786-4e23-958f-a9d887b893d7,electronic_html,https://efdsearch.senate.gov/search/view/ptr/2d6428b6-c786-4e23-958f-a9d887b893d7/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-07-14,Periodic Transaction Report for 07/14/2023,90e958fd-45d3-422f-b33e-935092384205,90e958fd-45d3-422f-b33e-935092384205,electronic_html,https://efdsearch.senate.gov/search/view/ptr/90e958fd-45d3-422f-b33e-935092384205/
